id,energy,liveness,tempo,speechiness,acousticness,instrumentalness,time_signature,danceability,key,duration_ms,loudness,valence,mode,type,uri
6nz8W5q940pEthdQfjwYhh,0.213,0.101,134.968,0.0329,0.882,0.851,3,0.354,2,198444,-16.463,0.158,0,audio_features,spotify:track:6nz8W5q940pEthdQfjwYhh
7sBRwgYSf6dwyIi9T6uY7y,0.223,0.114,109.466,0.0651,0.97,0.888,4,0.758,8,213637,-13.275,0.265,1,audio_features,spotify:track:7sBRwgYSf6dwyIi9T6uY7y
4PYoRZpEoJHAi22nbeGA0b,0.844,0.238,119.987,0.0407,0.000186,0.539,4,0.539,1,199800,-5.604,0.466,1,audio_features,spotify:track:4PYoRZpEoJHAi22nbeGA0b
3JCvbJlquC5ZhdXhHq62Z5,0.991,0.29,83.995,0.096,1.85e-05,0.0,4,0.477,5,192261,-2.692,0.364,0,audio_features,spotify:track:3JCvbJlquC5ZhdXhHq62Z5
3tyFkV691mLN162OMYP5Vi,0.659,0.118,106.913,0.0293,0.00211,1.74e-05,4,0.573,3,266947,-5.271,0.204,0,audio_features,spotify:track:3tyFkV691mLN162OMYP5Vi
29lBMAu32Yaooj3QdzKwMO,0.949,0.316,137.932,0.073,1.22e-05,0.00234,4,0.413,5,195627,-3.565,0.364,0,audio_features,spotify:track:29lBMAu32Yaooj3QdzKwMO
24l3sA2bx0DdM9d4pfgywU,0.878,0.225,134.918,0.0407,0.00346,2.15e-05,4,0.486,11,238733,-5.114,0.316,0,audio_features,spotify:track:24l3sA2bx0DdM9d4pfgywU
1JIEHfirWnJETcZZegwqXD,0.46,0.337,85.746,0.0307,0.223,0.000728,4,0.469,2,219116,-9.032,0.39,0,audio_features,spotify:track:1JIEHfirWnJETcZZegwqXD
250Y5ghha5UHY1mMgWZ2nD,0.299,0.108,163.042,0.0391,0.901,0.95,4,0.386,2,149013,-15.785,0.832,1,audio_features,spotify:track:250Y5ghha5UHY1mMgWZ2nD
0ec5rFBAAB1rbC4qqqYazX,0.436,0.139,107.984,0.0344,0.404,0.309,4,0.722,7,214840,-9.866,0.379,1,audio_features,spotify:track:0ec5rFBAAB1rbC4qqqYazX
1Lj5E2LnlldbE5xoPppXL8,0.709,0.145,98.042,0.042,6.82e-05,0.00275,4,0.523,7,203907,-6.745,0.489,1,audio_features,spotify:track:1Lj5E2LnlldbE5xoPppXL8
2shjE4WLWdK9t2ZRtu3bLq,0.8,0.218,139.9,0.0432,1.42e-05,0.0,4,0.355,9,212853,-4.548,0.299,1,audio_features,spotify:track:2shjE4WLWdK9t2ZRtu3bLq
5v6dtKoPkH8wJVqfOROJqD,0.5,0.119,155.383,0.0607,0.644,2.24e-06,3,0.515,11,224640,-8.986,0.634,0,audio_features,spotify:track:5v6dtKoPkH8wJVqfOROJqD
5mqO2bCmB0WY4G21ZmNjtn,0.56,0.0579,98.04,0.0388,0.0704,6.48e-05,4,0.371,5,219170,-8.968,0.223,1,audio_features,spotify:track:5mqO2bCmB0WY4G21ZmNjtn
7KubeWC5zOcYOLTYxCtnYE,0.757,0.152,133.882,0.0269,0.0508,1.96e-05,4,0.61,5,172387,-5.403,0.392,1,audio_features,spotify:track:7KubeWC5zOcYOLTYxCtnYE
