id,energy,liveness,tempo,speechiness,acousticness,instrumentalness,time_signature,danceability,key,duration_ms,loudness,valence,mode,type,uri
7wGoVu4Dady5GV0Sv4UIsx,0.522,0.142,159.772,0.0984,0.13,9.03e-05,4,0.577,5,218320,-6.594,0.119,0,audio_features,spotify:track:7wGoVu4Dady5GV0Sv4UIsx
0ofbQMrRDsUaVKq2mGLEAb,0.517,0.104,104.992,0.0312,0.186,3.8e-05,4,0.768,7,216897,-4.323,0.418,0,audio_features,spotify:track:0ofbQMrRDsUaVKq2mGLEAb
5UEnHoDYpsxlfzWLZIc7LD,0.748,0.0759,90.052,0.473,0.17,0.0,4,0.757,8,221013,-5.794,0.693,0,audio_features,spotify:track:5UEnHoDYpsxlfzWLZIc7LD
2ekn2ttSfGqwhhate0LSR0,0.696,0.179,116.054,0.0755,0.00256,9.71e-06,4,0.771,9,208827,-6.258,0.656,0,audio_features,spotify:track:2ekn2ttSfGqwhhate0LSR0
7EmGUiUaOSGDnUUQUDrOXC,0.802,0.177,124.989,0.0394,0.139,0.0,4,0.715,11,197993,-4.647,0.327,0,audio_features,spotify:track:7EmGUiUaOSGDnUUQUDrOXC
5k38wzpLb15YgncyWdTZE4,0.731,0.308,87.908,0.0868,0.0534,0.0,4,0.589,2,268867,-6.343,0.191,1,audio_features,spotify:track:5k38wzpLb15YgncyWdTZE4
1zsG4eaZmkA1dvjDDsAGLK,0.895,0.097,96.022,0.0411,0.0322,0.0,4,0.724,7,173720,-3.617,0.64,1,audio_features,spotify:track:1zsG4eaZmkA1dvjDDsAGLK
0tgVpDi06FyKpA1z0VMD4v,0.448,0.106,95.05,0.0232,0.163,0.0,3,0.599,8,263400,-6.312,0.168,1,audio_features,spotify:track:0tgVpDi06FyKpA1z0VMD4v
6mrKP2jyIQmM0rw6fQryjr,0.716,0.173,148.015,0.111,0.33,0.0,4,0.659,5,212120,-5.673,0.437,0,audio_features,spotify:track:6mrKP2jyIQmM0rw6fQryjr
3Vo4wInECJQuz9BIBMOu8i,0.859,0.0215,105.115,0.0996,0.0185,0.0,4,0.704,5,217289,-4.877,0.926,0,audio_features,spotify:track:3Vo4wInECJQuz9BIBMOu8i
3hBBKuWJfxlIlnd9QFoC8k,0.615,0.0855,110.009,0.0671,0.0786,2.98e-06,4,0.795,5,199849,-5.211,0.393,0,audio_features,spotify:track:3hBBKuWJfxlIlnd9QFoC8k
1mXVgsBdtIVeCLJnSnmtdV,0.375,0.173,91.92,0.0491,0.652,0.0,4,0.698,5,201000,-8.279,0.534,1,audio_features,spotify:track:1mXVgsBdtIVeCLJnSnmtdV
7qiZfU4dY1lWllzX7mPBI3,0.652,0.0931,95.977,0.0802,0.581,0.0,4,0.825,1,233713,-3.183,0.931,0,audio_features,spotify:track:7qiZfU4dY1lWllzX7mPBI3
75ZvA4QfFiZvzhj2xkaWAh,0.543,0.199,143.916,0.0398,0.0777,0.0,4,0.573,8,223347,-5.357,0.308,0,audio_features,spotify:track:75ZvA4QfFiZvzhj2xkaWAh
7vGuf3Y35N4wmASOKLUVVU,0.761,0.17,141.971,0.0853,0.256,4.96e-06,4,0.52,4,180823,-3.093,0.286,1,audio_features,spotify:track:7vGuf3Y35N4wmASOKLUVVU
1bhUWB0zJMIKr9yVPrkEuI,0.299,0.123,94.992,0.0263,0.779,0.0,3,0.587,8,259550,-7.365,0.356,1,audio_features,spotify:track:1bhUWB0zJMIKr9yVPrkEuI
5AEtlRudpgdT5FtNiuly6Y,0.717,0.0769,103.036,0.0581,0.0393,0.0,4,0.659,8,174800,-4.202,0.71,1,audio_features,spotify:track:5AEtlRudpgdT5FtNiuly6Y
4lESS6vuruP6a79KWRaQou,0.768,0.162,98.989,0.122,0.283,2.25e-05,4,0.871,4,184067,-5.401,0.765,0,audio_features,spotify:track:4lESS6vuruP6a79KWRaQou
43ZyHQITOjhciSUUNPVRHc,0.523,0.117,119.889,0.0597,0.239,0.0,4,0.936,5,124056,-6.71,0.699,1,audio_features,spotify:track:43ZyHQITOjhciSUUNPVRHc
2DQ1ITjI0YoLFzuADN1ZBW,0.771,0.0853,175.957,0.244,0.0117,0.0,4,0.838,1,245387,-3.791,0.405,1,audio_features,spotify:track:2DQ1ITjI0YoLFzuADN1ZBW
75FDPwaULRdYDn4StFN2rT,0.546,0.36,138.043,0.175,0.000704,0.000823,4,0.909,8,224613,-7.513,0.0986,1,audio_features,spotify:track:75FDPwaULRdYDn4StFN2rT
1j4kHkkpqZRBwE0A4CN4Yv,0.437,0.106,180.043,0.039,0.101,1.27e-06,4,0.258,11,239000,-6.593,0.0967,0,audio_features,spotify:track:1j4kHkkpqZRBwE0A4CN4Yv
5hcisvFMidkMJlElTO9Qmw,0.681,0.0962,140.006,0.0983,0.423,0.0,4,0.807,11,297485,-6.268,0.676,1,audio_features,spotify:track:5hcisvFMidkMJlElTO9Qmw
66kQ7wr4d2LwwSjr7HXcyr,0.615,0.0843,96.84,0.0619,0.0284,0.0133,4,0.7,8,235540,-5.387,0.449,1,audio_features,spotify:track:66kQ7wr4d2LwwSjr7HXcyr
2xmrfQpmS2iJExTlklLoAL,0.658,0.0919,105.076,0.0456,0.245,3.77e-06,4,0.638,3,205748,-6.318,0.33,1,audio_features,spotify:track:2xmrfQpmS2iJExTlklLoAL
3Ga6eKrUFf12ouh9Yw3v2D,0.679,0.068,166.008,0.135,0.18,7.26e-05,4,0.775,4,193456,-4.985,0.619,0,audio_features,spotify:track:3Ga6eKrUFf12ouh9Yw3v2D
6Za3190Sbw39BBC77WSS1C,0.813,0.255,79.997,0.0561,0.03,9.33e-05,4,0.814,2,232550,-3.023,0.839,0,audio_features,spotify:track:6Za3190Sbw39BBC77WSS1C
7iDa6hUg2VgEL1o1HjmfBn,0.783,0.083,154.084,0.0856,0.047,0.0,4,0.643,10,163870,-6.458,0.579,1,audio_features,spotify:track:7iDa6hUg2VgEL1o1HjmfBn
1L3NV7VrCiuE8C5QlhdeQL,0.579,0.246,97.002,0.138,0.0354,0.0118,4,0.745,1,293947,-5.771,0.645,1,audio_features,spotify:track:1L3NV7VrCiuE8C5QlhdeQL
0tKcYR2II1VCQWT79i5NrW,0.81,0.155,167.88,0.0479,0.00683,0.21,4,0.6,0,187147,-4.749,0.298,1,audio_features,spotify:track:0tKcYR2II1VCQWT79i5NrW
5Z3GHaZ6ec9bsiI5BenrbY,0.539,0.165,136.949,0.0421,0.199,1.66e-05,4,0.798,1,202547,-6.351,0.394,1,audio_features,spotify:track:5Z3GHaZ6ec9bsiI5BenrbY
7GX5flRQZVHRAGd6B4TmDO,0.75,0.109,155.096,0.231,0.00264,0.0,4,0.732,11,182707,-6.366,0.401,0,audio_features,spotify:track:7GX5flRQZVHRAGd6B4TmDO
32DGGj6KlNuBr6WaqRxpxi,0.581,0.0805,110.008,0.0767,0.189,3.61e-06,4,0.849,1,198237,-5.243,0.779,0,audio_features,spotify:track:32DGGj6KlNuBr6WaqRxpxi
42CeaId2XNlxugDvyqHfDf,0.688,0.0734,90.013,0.0841,0.633,0.0,4,0.765,4,229573,-5.566,0.434,1,audio_features,spotify:track:42CeaId2XNlxugDvyqHfDf
3a1lNhkSLSkpJE4MSHpDu9,0.812,0.212,123.071,0.0358,0.198,0.0,4,0.627,6,220293,-4.215,0.504,1,audio_features,spotify:track:3a1lNhkSLSkpJE4MSHpDu9
33bnxcjePIkcmNjEFTJX0l,0.788,0.0753,170.019,0.0785,0.0482,0.0,4,0.681,1,220117,-4.323,0.839,1,audio_features,spotify:track:33bnxcjePIkcmNjEFTJX0l
2rb5MvYT7ZIxbKW5hfcHx8,0.677,0.13,103.809,0.0993,0.0148,6.21e-06,4,0.543,11,189440,-4.915,0.294,0,audio_features,spotify:track:2rb5MvYT7ZIxbKW5hfcHx8
6QgjcU0zLnzq5OrUoSZ3OK,0.795,0.0717,79.028,0.0504,0.0417,0.000113,4,0.801,1,163253,-5.115,0.754,0,audio_features,spotify:track:6QgjcU0zLnzq5OrUoSZ3OK
3B54sVLJ402zGa6Xm4YGNe,0.769,0.104,97.985,0.123,0.0293,0.0101,4,0.726,6,233902,-5.043,0.733,1,audio_features,spotify:track:3B54sVLJ402zGa6Xm4YGNe
1m69ELEgE6k5ZWsap40ozt,0.821,0.311,171.077,0.0852,0.222,9.6e-06,4,0.739,1,188080,-4.233,0.693,1,audio_features,spotify:track:1m69ELEgE6k5ZWsap40ozt
7sO5G9EABYOXQKNPNiE9NR,0.428,0.114,100.007,0.206,0.149,5.07e-05,4,0.88,9,172800,-8.28,0.333,1,audio_features,spotify:track:7sO5G9EABYOXQKNPNiE9NR
6VpQdig9pdpTSIFItgkJV5,0.709,0.115,129.961,0.0733,0.145,0.000449,4,0.643,0,227088,-4.343,0.264,1,audio_features,spotify:track:6VpQdig9pdpTSIFItgkJV5
5tz69p7tJuGPeMGwNTxYuV,0.572,0.192,100.015,0.0387,0.57,0.0,4,0.629,5,250173,-7.733,0.386,0,audio_features,spotify:track:5tz69p7tJuGPeMGwNTxYuV
7EI6Iki24tBHAMxtb4xQN2,0.797,0.104,106.93,0.0596,0.0364,0.0,4,0.628,11,215064,-3.953,0.321,0,audio_features,spotify:track:7EI6Iki24tBHAMxtb4xQN2
7KXjTSCq5nL1LoYtL7XAwS,0.611,0.0976,150.02,0.0888,0.000259,2.03e-05,4,0.904,1,177000,-6.842,0.4,0,audio_features,spotify:track:7KXjTSCq5nL1LoYtL7XAwS
0OlnLZY4cmQzT6ZGttvWBM,0.52,0.197,149.119,0.0569,0.435,0.0,4,0.526,6,183637,-7.985,0.13,0,audio_features,spotify:track:0OlnLZY4cmQzT6ZGttvWBM
7JNh1cfm0eXjqFVOzKLyau,0.855,0.099,96.989,0.0436,0.141,0.0045,4,0.743,5,202453,-3.976,0.871,0,audio_features,spotify:track:7JNh1cfm0eXjqFVOzKLyau
0Zbbxnx4SGGHoIow4PpISP,0.497,0.0911,99.137,0.0809,0.152,0.0,4,0.677,5,236853,-5.763,0.419,1,audio_features,spotify:track:0Zbbxnx4SGGHoIow4PpISP
6De0lHrwBfPfrhorm9q1Xl,0.804,0.0494,104.823,0.0677,0.0231,0.0,4,0.744,1,205715,-6.327,0.426,1,audio_features,spotify:track:6De0lHrwBfPfrhorm9q1Xl
6PGoSes0D9eUDeeAafB2As,0.582,0.153,126.075,0.103,0.29,0.0,4,0.798,10,213400,-7.38,0.766,1,audio_features,spotify:track:6PGoSes0D9eUDeeAafB2As
